"","confirmed","recovered","deaths"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0,0
"19",0,0,0
"20",0,0,0
"21",0,0,0
"22",0,0,0
"23",0,0,0
"24",0,0,0
"25",0,0,0
"26",0,0,0
"27",0,0,0
"28",0,0,0
"29",0,0,0
"30",0,0,0
"31",0,0,0
"32",0,0,0
"33",0,0,0
"34",0,0,0
"35",0,0,0
"36",0,0,0
"37",0,0,0
"38",0,0,0
"39",0,0,0
"40",0,0,0
"41",0,0,0
"42",0,0,0
"43",0,0,0
"44",0,0,0
"45",0,0,0
"46",0,0,0
"47",0,0,0
"48",0,0,0
"49",0,0,0
"50",0,0,0
"51",0,0,0
"52",1,0,0
"53",1,0,0
"54",1,0,0
"55",2,0,0
"56",2,0,0
"57",3,0,0
"58",4,0,0
"59",6,0,0
"60",9,0,0
"61",19,0,0
"62",32,0,0
"63",39,0,0
"64",39,0,0
"65",53,1,0
"66",62,1,0
"67",71,2,0
"68",77,2,0
"69",78,2,1
"70",80,3,1
"71",84,8,1
"72",87,11,1
"73",91,18,1
"74",93,18,2
"75",96,28,2
"76",96,40,2
"77",96,40,2
"78",99,40,2
"79",100,47,2
"80",103,59,2
"81",103,59,2
"82",103,59,2
"83",102,59,2
"84",103,72,2
"85",103,72,3
"86",103,82,3
"87",103,81,3
"88",103,88,3
"89",103,88,3
"90",104,91,3
"91",104,92,3
"92",104,93,3
"93",104,93,3
"94",105,97,3
"95",106,98,3
"96",106,99,3
"97",106,100,3
"98",106,101,3
"99",106,101,3
"100",106,103,3
"101",106,103,3
"102",106,103,3
"103",106,103,3
"104",107,103,3
"105",107,103,3
"106",107,103,3
"107",107,103,3
"108",107,103,3
"109",107,104,3
"110",107,104,3
"111",107,104,3
"112",107,104,3
"113",107,104,3
"114",107,104,3
"115",107,104,3
"116",107,104,3
"117",107,104,3
