"","dates","confirmed","recovered","deaths","reinfection","vaccines_adm"
"1","2020-01-22",0,0,0,0,0
"2","2020-01-23",0,0,0,0,0
"3","2020-01-24",0,0,0,0,0
"4","2020-01-25",0,0,0,0,0
"5","2020-01-26",0,0,0,0,0
"6","2020-01-27",1,0,0,0,0
"7","2020-01-28",4,0,0,0,0
"8","2020-01-29",4,0,0,0,0
"9","2020-01-30",4,0,0,0,0
"10","2020-01-31",5,0,0,0,0
"11","2020-02-01",8,0,0,0,0
"12","2020-02-02",10,0,0,0,0
"13","2020-02-03",12,0,0,0,0
"14","2020-02-04",12,0,0,0,0
"15","2020-02-05",12,0,0,0,0
"16","2020-02-06",12,0,0,0,0
"17","2020-02-07",13,0,0,0,0
"18","2020-02-08",13,0,0,0,0
"19","2020-02-09",14,0,0,0,0
"20","2020-02-10",14,0,0,0,0
"21","2020-02-11",16,0,0,0,0
"22","2020-02-12",16,0,0,0,0
"23","2020-02-13",16,1,0,0,0
"24","2020-02-14",16,1,0,0,0
"25","2020-02-15",16,1,0,0,0
"26","2020-02-16",16,1,0,0,0
"27","2020-02-17",16,1,0,0,0
"28","2020-02-18",16,12,0,0,0
"29","2020-02-19",16,12,0,0,0
"30","2020-02-20",16,12,0,0,0
"31","2020-02-21",16,14,0,0,0
"32","2020-02-22",16,14,0,0,0
"33","2020-02-23",16,14,0,0,0
"34","2020-02-24",16,14,0,0,0
"35","2020-02-25",17,14,0,0,0
"36","2020-02-26",27,15,0,0,0
"37","2020-02-27",46,16,0,0,0
"38","2020-02-28",48,16,0,0,0
"39","2020-02-29",79,16,0,0,0
"40","2020-03-01",130,16,0,0,0
"41","2020-03-02",159,16,0,0,0
"42","2020-03-03",196,16,0,0,0
"43","2020-03-04",262,16,0,0,0
"44","2020-03-05",482,16,0,0,0
"45","2020-03-06",670,17,0,0,0
"46","2020-03-07",799,18,0,0,0
"47","2020-03-08",1040,18,0,0,0
"48","2020-03-09",1176,18,2,0,0
"49","2020-03-10",1457,18,2,0,0
"50","2020-03-11",1908,25,3,1,0
"51","2020-03-12",2078,25,3,1,0
"52","2020-03-13",3675,46,7,1,0
"53","2020-03-14",4585,46,9,1,0
"54","2020-03-15",5795,46,11,1,0
"55","2020-03-16",7272,67,17,2,0
"56","2020-03-17",9257,67,24,2,0
"57","2020-03-18",12327,105,28,4,0
"58","2020-03-19",15320,113,44,4,0
"59","2020-03-20",19848,180,67,7,0
"60","2020-03-21",22213,233,84,9,0
"61","2020-03-22",24873,266,94,10,0
"62","2020-03-23",29056,266,123,10,0
"63","2020-03-24",32986,3243,157,129,0
"64","2020-03-25",37323,3547,206,141,0
"65","2020-03-26",43938,5673,267,226,0
"66","2020-03-27",50871,6658,342,266,0
"67","2020-03-28",57695,8481,433,339,0
"68","2020-03-29",62095,9211,533,368,0
"69","2020-03-30",66885,13500,645,540,0
"70","2020-03-31",71808,16100,775,644,0
"71","2020-04-01",77872,18700,920,748,0
"72","2020-04-02",84794,22440,1107,897,0
"73","2020-04-03",91159,24575,1275,983,0
"74","2020-04-04",96092,26400,1444,1056,0
"75","2020-04-05",100123,28700,1584,1148,0
"76","2020-04-06",103374,28700,1810,1148,0
"77","2020-04-07",107663,36081,2016,1443,0
"78","2020-04-08",113296,46300,2349,1852,0
"79","2020-04-09",118181,52407,2607,2096,0
"80","2020-04-10",122171,53913,2767,2156,0
"81","2020-04-11",124908,57400,2736,2296,0
"82","2020-04-12",127854,60300,3022,2412,0
"83","2020-04-13",130072,64300,3194,2572,0
"84","2020-04-14",131359,68200,3294,2728,0
"85","2020-04-15",134753,72600,3804,2904,0
"86","2020-04-16",137698,77000,4052,3080,0
"87","2020-04-17",141397,83114,4352,3324,0
"88","2020-04-18",143342,85400,4459,3416,0
"89","2020-04-19",145184,88000,4586,3520,0
"90","2020-04-20",147065,91500,4862,3660,0
"91","2020-04-21",148291,95200,5033,3808,0
"92","2020-04-22",150648,99400,5279,3976,0
"93","2020-04-23",153129,103300,5575,4132,0
"94","2020-04-24",154999,109800,5760,4392,0
"95","2020-04-25",156513,109800,5877,4392,0
"96","2020-04-26",157770,112000,5976,4480,0
"97","2020-04-27",158758,114500,6126,4580,0
"98","2020-04-28",159912,117400,6314,4696,0
"99","2020-04-29",161539,120400,6467,4816,0
"100","2020-04-30",163009,123500,6623,4940,0
"101","2020-05-01",164077,126900,6736,5076,0
"102","2020-05-02",164967,129000,6812,5160,0
"103","2020-05-03",165664,130600,6866,5224,0
