"","Entity","Code","Day","total_vaccinations"
"14365","Germany","DEU","2020-12-27",24375
"14366","Germany","DEU","2020-12-28",42473
"14367","Germany","DEU","2020-12-29",93174
"14368","Germany","DEU","2020-12-30",157374
"14369","Germany","DEU","2020-12-31",207389
"14370","Germany","DEU","2021-01-01",233073
"14371","Germany","DEU","2021-01-02",281157
"14372","Germany","DEU","2021-01-03",303740
"14373","Germany","DEU","2021-01-04",349945
"14374","Germany","DEU","2021-01-05",402687
"14375","Germany","DEU","2021-01-06",465867
"14376","Germany","DEU","2021-01-07",520864
"14377","Germany","DEU","2021-01-08",583730
"14378","Germany","DEU","2021-01-09",644496
"14379","Germany","DEU","2021-01-10",680513
"14380","Germany","DEU","2021-01-11",749166
"14381","Germany","DEU","2021-01-12",828331
"14382","Germany","DEU","2021-01-13",940630
"14383","Germany","DEU","2021-01-14",1024767
"14384","Germany","DEU","2021-01-15",1116581
"14385","Germany","DEU","2021-01-16",1174673
"14386","Germany","DEU","2021-01-17",1222488
"14387","Germany","DEU","2021-01-18",1305734
"14388","Germany","DEU","2021-01-19",1425543
"14389","Germany","DEU","2021-01-20",1558439
"14390","Germany","DEU","2021-01-21",1663989
"14391","Germany","DEU","2021-01-22",1766333
"14392","Germany","DEU","2021-01-23",1853391
"14393","Germany","DEU","2021-01-24",1901212
"14394","Germany","DEU","2021-01-25",1992241
"14395","Germany","DEU","2021-01-26",2090782
"14396","Germany","DEU","2021-01-27",2200263
"14397","Germany","DEU","2021-01-28",2292830
"14398","Germany","DEU","2021-01-29",2400613
"14399","Germany","DEU","2021-01-30",2488727
"14400","Germany","DEU","2021-01-31",2545960
"14401","Germany","DEU","2021-02-01",2666412
"14402","Germany","DEU","2021-02-02",2799284
"14403","Germany","DEU","2021-02-03",2962388
"14404","Germany","DEU","2021-02-04",3097014
"14405","Germany","DEU","2021-02-05",3244603
"14406","Germany","DEU","2021-02-06",3338816
"14407","Germany","DEU","2021-02-07",3392396
"14408","Germany","DEU","2021-02-08",3501912
"14409","Germany","DEU","2021-02-09",3636673
"14410","Germany","DEU","2021-02-10",3792228
"14411","Germany","DEU","2021-02-11",3936933
"14412","Germany","DEU","2021-02-12",4093186
"14413","Germany","DEU","2021-02-13",4201068
"14414","Germany","DEU","2021-02-14",4266541
"14415","Germany","DEU","2021-02-15",4392409
"14416","Germany","DEU","2021-02-16",4527364
"14417","Germany","DEU","2021-02-17",4679302
"14418","Germany","DEU","2021-02-18",4824510
